Name,Year Published,Mechanics,Rating Average
Anno Domini 1666,2019.0,"Grid Movement, Hand Management, Variable Player Powers","8,87"
Malifaux (Third Edition),2019.0,"Action Points, Campaign / Battle Card Driven, Hand Management, Variable Player Powers","8,87"
Gloomhaven: Jaws of the Lion,2020.0,"Action Queue, Campaign / Battle Card Driven, Communication Limits, Cooperative Game, Critical Hits and Failures, Deck Construction, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Line of Sight, Once-Per-Game Abilities, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers","8,87"
World At War 85: Storming the Gap,2019.0,"Chit-Pull System, Dice Rolling, Grid Movement, Hexagon Grid, Simulation","8,85"
High Frontier 4 All,2020.0,"Auction/Bidding, Deck Bag and Pool Building, Hand Management, Network and Route Building, Pick-up and Deliver, Point to Point Movement, Simulation, Variable Player Powers","8,83"
Warhammer Underworlds: Direchasm,2020.0,"Card Play Conflict Resolution, Die Icon Resolution, Hexagon Grid","8,82"
Blood & Plunder,2016.0,Action Queue,"8,82"
Kanban EV,2020.0,"Action Points, Hand Management, Variable Phase Order, Worker Placement","8,82"
Wild Life: The Card Game,2021.0,"Hand Management, Set Collection, Take That, Turn Order: Progressive","8,81"
Blood Bowl: Second Season Edition,2020.0,"Critical Hits and Failures, Dice Rolling, Grid Movement, Movement Points, Push Your Luck, Square Grid, Variable Player Powers, Zone of Control","8,81"
RPGQuest: A Jornada do Herói,2017.0,"Cooperative Game, Dice Rolling, Modular Board, Pick-up and Deliver, Storytelling, Variable Player Powers","8,81"
Mortum: Medieval Detective,2021.0,"Cooperative Game, Storytelling","8,81"
This Is Not a Test: Post-Apocalyptic Skirmish Rules,2013.0,"Action Points, Area Movement, Dice Rolling, Line of Sight, Measurement Movement, Scenario / Mission / Campaign Game, Secret Unit Deployment, Simulation, Time Track, Variable Player Powers","8,80"
Sports Action Canadian Pro Football,1974.0,Simulation,"8,80"
Oak & Iron: Core Box,2019.0,"Action Queue, Dice Rolling, Measurement Movement, Player Elimination, Simultaneous Action Selection, Team-Based Game, Variable Player Powers","8,80"
RPGQuest: Greek Mythology,2005.0,"Action Points, Cooperative Game, Dice Rolling, Modular Board, Role Playing","8,80"
Moonshine Empire,2021.0,"Area Movement, Network and Route Building, Pick-up and Deliver, Time Track, Worker Placement","8,80"
Eclipse: Second Dawn for the Galaxy,2020.0,"Alliances, Area Majority / Influence, Area Movement, Area-Impulse, Critical Hits and Failures, Dice Rolling, Grid Movement, Income, Kill Steal, Modular Board, Passed Action Token, Player Elimination, Tile Placement, Variable Player Powers","8,80"
Hogs Of War: The Miniatures Game,2020.0,"Action Queue, Alliances, Campaign / Battle Card Driven, Hidden Movement, King of the Hill, Modular Board, Push Your Luck, Team-Based Game, Variable Set-up, Worker Placement","8,80"
Pandemic Legacy: Season 0,2020.0,"Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Set Collection, Variable Player Powers","8,80"
Sleeping Gods,2021.0,"Cooperative Game, Hand Management, Push Your Luck, Storytelling","8,79"
Vidrado,2020.0,"Card Drafting, Contracts, Hand Management","8,79"
Night Parade of a Hundred Yokai,2021.0,"Drafting, Hidden Victory Points, Modular Board, Variable Player Powers","8,79"
Gloomhaven,2017.0,"Action Queue, Action Retrieval, Campaign / Battle Card Driven, Card Play Conflict Resolution, Communication Limits, Cooperative Game, Deck Construction, Deck Bag and Pool Building, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Modular Board, Once-Per-Game Abilities, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Solo / Solitaire Game, Storytelling, Variable Player Powers","8,79"
Clank! Legacy: Acquisitions Incorporated,2019.0,"Card Drafting, Deck Bag and Pool Building, Legacy Game, Once-Per-Game Abilities, Point to Point Movement, Push Your Luck","8,79"
Connection Games,2005.0,"Enclosure, Line Drawing, Paper-and-Pencil, Tile Placement","8,78"
Assassin's Creed: Brotherhood of Venice,2021.0,"Action Points, Cooperative Game, Events, Modular Board, Multiple Maps, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling, Variable Player Powers","8,78"
Last Chance for Victory: The Battle of Gettysburg,2014.0,"Dice Rolling, Hexagon Grid, Simulation","8,78"
Too Many Bones: Undertow,2018.0,"Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Minimap Resolution, Role Playing, Solo / Solitaire Game, Variable Player Powers","8,78"
Rangers of Shadow Deep: Deluxe Edition,2020.0,"Action Points, Cooperative Game, Dice Rolling, Role Playing, Variable Player Powers","8,77"
Ciudad de Cartón,2017.0,"Auction/Bidding, Dice Rolling, Trading","8,76"
Wizard Thieves,2019.0,"Memory, Pattern Recognition, Player Elimination, Take That","8,76"
La Bataille de Dresde,2015.0,"Dice Rolling, Hexagon Grid, Line of Sight","8,76"
The Lord of the Rings: The Card Game - Two-Player Limited Edition Starter,2018.0,"Cooperative Game, Hand Management, Variable Player Powers","8,75"
1822MX,2019.0,"Network and Route Building, Stock Holding, Tile Placement","8,75"
1817,2010.0,"Auction/Bidding, Loans, Market, Network and Route Building, Ownership, Stock Holding, Tile Placement, Victory Points as a Resource","8,75"
Aeon's End: The New Age,2019.0,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Hand Management, Variable Phase Order, Variable Player Powers","8,75"
Beyond Humanity: Colonies,2020.0,"Action Points, Cooperative Game, Deck Bag and Pool Building, Modular Board, Simultaneous Action Selection, Tile Placement, Variable Player Powers, Voting, Worker Placement","8,74"
Revanche,2018.0,"Hand Management, Memory","8,74"
Sword & Sorcery: Ancient Chronicles,2021.0,"Action Points, Area Movement, Cooperative Game, Dice Rolling, Modular Board, Role Playing, Variable Player Powers","8,73"
Sellswords and Spellslingers,2018.0,"Action Points, Cooperative Game, Dice Rolling","8,73"
Rangers of Shadow Deep,2018.0,"Action Points, Cooperative Game, Dice Rolling, Role Playing, Variable Player Powers","8,73"
Less Than 60 Miles,2019.0,"Campaign / Battle Card Driven, Dice Rolling, Events, Hexagon Grid, Simulation, Zone of Control","8,73"
Unmatched: Little Red Riding Hood vs. Beowulf,2020.0,"Area Movement, Hand Management, Variable Player Powers","8,72"
Jurassic World Miniature Game,2020.0,"Action Queue, Deck Bag and Pool Building, Variable Phase Order","8,71"
Atlanta Is Ours,2018.0,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Scenario / Mission / Campaign Game, Simulation, Zone of Control","8,71"
Comic Hunters,2020.0,"Auction: Turn Order Until Pass, Card Drafting, Hand Management, Set Collection","8,71"
Conflict of Heroes: Storms of Steel - Kursk 1943 (Third Edition),2019.0,"Action Points, Dice Rolling, Hexagon Grid, Simulation","8,71"
Giga-Robo!,2020.0,"Dice Rolling, Grid Movement, Hand Management, Modular Board, Take That, Variable Player Powers","8,71"
"The Greatest Day: Sword, Juno, and Gold Beaches",2015.0,"Chit-Pull System, Hexagon Grid","8,70"
Twilight Imperium: Fourth Edition,2017.0,"Action Drafting, Area Majority / Influence, Area-Impulse, Dice Rolling, Follow, Grid Movement, Hexagon Grid, Modular Board, Trading, Variable Phase Order, Variable Player Powers, Voting","8,70"
Kings of War (Third Edition),2019.0,"Dice Rolling, Variable Player Powers","8,70"
Zerywia,2021.0,"Cooperative Game, Dice Rolling, Push Your Luck, Storytelling","8,70"
Ignite,0.0,"Area Majority / Influence, Deck Bag and Pool Building, Grid Movement, Hand Management, Modular Board, Variable Player Powers","8,69"
Blue Water Navy: The War at Sea,2019.0,"Action Points, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Secret Unit Deployment, Simulation","8,69"
A Song of Ice & Fire: Tabletop Miniatures Game - Free Folk Starter Set,2018.0,"Dice Rolling, Hand Management","8,69"
"Last Blitzkrieg: Wacht am Rhein, The Battle of the Bulge",2016.0,"Dice Rolling, Hexagon Grid, Simulation","8,69"
Admirals' War: World War II at Sea,2019.0,"Area Majority / Influence, Area Movement, Dice Rolling, Simulation","8,69"
History Maker Golf,2017.0,"Dice Rolling, Simulation","8,69"
Middara: Unintentional Malum - Act 1,2019.0,"Action Points, Cooperative Game, Dice Rolling, Grid Movement, Hand Management, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling, Variable Player Powers","8,69"
U.S.S. Freedom,2021.0,"Action/Event, Campaign / Battle Card Driven, Cooperative Game, Grid Movement, Push Your Luck, Tile Placement, Variable Player Powers, Worker Placement, Different Worker Types","8,69"
Middle-earth Strategy Battle Game: The Lord of the Rings - Battle of Pelennor Fields,2018.0,"Action Points, Dice Rolling, Point to Point Movement, Variable Player Powers","8,69"
Montélimar: Anvil of Fate,2018.0,"Chit-Pull System, Dice Rolling, Hexagon Grid","8,68"
"The Battle of Fontenoy: 11 May, 1745",2012.0,"Dice Rolling, Hexagon Grid, Line of Sight","8,68"
Teenage Mutant Ninja Turtles Adventures: City Fall,2020.0,"Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Grid Movement, Hand Management, Modular Board, Scenario / Mission / Campaign Game, Team-Based Game, Variable Player Powers","8,68"
RPGQuest,2005.0,"Cooperative Game, Dice Rolling, Modular Board, Role Playing","8,68"
Flesh and Blood,2019.0,Hand Management,"8,68"
Prague: The Empty Triumph,2014.0,"Dice Rolling, Hexagon Grid","8,67"
Advanced Squad Leader: Starter Kit #4 - Pacific Theater of Operations,2019.0,"Dice Rolling, Hexagon Grid, Simulation","8,67"
Bolt Action: Band of Brothers,2016.0,"Action Points, Dice Rolling, Point to Point Movement","8,67"
Mantis Falls,2021.0,"Action Queue, Cooperative Game, Drafting, Events, Hand Management, Hidden Roles, Line of Sight, Modular Board, Traitor Game, Variable Set-up","8,67"
Death Valley: Battles for the Shenandoah,2019.0,"Chit-Pull System, Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Movement Points, Scenario / Mission / Campaign Game, Simulation, Zone of Control","8,67"
Lock 'n Load Tactical: Heroes of the Motherland,2015.0,Hexagon Grid,"8,66"
Brass: Birmingham,2018.0,"Hand Management, Income, Loans, Market, Network and Route Building, Score-and-Reset Game, Tech Trees / Tech Tracks, Turn Order: Stat-Based, Variable Set-up","8,66"
Kingdom Death: Monster,2015.0,"Cooperative Game, Dice Rolling, Grid Movement, Role Playing, Solo / Solitaire Game, Storytelling","8,66"
Enemy Action: Ardennes,2015.0,"Campaign / Battle Card Driven, Chit-Pull System, Hexagon Grid, Simulation, Solo / Solitaire Game","8,66"
Manassas,1980.0,"Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Variable Set-up, Zone of Control","8,65"
Thunder in the East,2018.0,"Dice Rolling, Hexagon Grid, Simulation","8,65"
Dungeon Crusade: Book I - Genesis of Evil,2020.0,"Cooperative Game, Dice Rolling, Role Playing, Solo / Solitaire Game","8,65"
Twistocity,2016.0,"Acting, Voting","8,65"
BattleCON: Wanderers of Indines,2018.0,"Hand Management, Point to Point Movement, Simultaneous Action Selection, Variable Player Powers","8,65"
The Last Station,2019.0,"Player Elimination, Team-Based Game, Variable Player Powers, Voting","8,64"
Relicblade: Adventure Battle Game,2015.0,"Action Points, Deck Bag and Pool Building, Dice Rolling, Push Your Luck","8,63"
Euthia: Torment of Resurrection,2020.0,"Cooperative Game, Dice Rolling, Grid Movement, Hand Management, Hexagon Grid, Map Addition, Modular Board, Movement Points, Role Playing, Solo / Solitaire Game, Variable Player Powers, Variable Set-up","8,63"
Guards of Atlantis II: Tabletop MOBA,2021.0,"Campaign / Battle Card Driven, Grid Movement, Hand Management, Simultaneous Action Selection, Team-Based Game, Variable Player Powers","8,63"
Battle Gnomes,2016.0,"Card Drafting, Deck Bag and Pool Building, Take That, Variable Player Powers","8,63"
Gelato Mio,2019.0,"Card Drafting, Contracts, Set Collection","8,63"
Exceed: Street Fighter - M. Bison Box,2019.0,"Hand Management, Point to Point Movement, Variable Player Powers","8,62"
Legends of Boxing,2000.0,Dice Rolling,"8,62"
Adventures in Neverland,2021.0,"Area Movement, Dice Rolling, Storytelling, Variable Player Powers","8,62"
Krosmaster: Blast,2020.0,"Advantage Token, Area Majority / Influence, Card Drafting, Critical Hits and Failures, Dice Rolling, Grid Movement, Line of Sight, Movement Points, Square Grid, Variable Player Powers, Variable Set-up, Zone of Control","8,61"
"Crusade and Revolution: The Spanish Civil War, 1936-1939",2013.0,"Campaign / Battle Card Driven, Card Drafting, Dice Rolling, Hand Management, Point to Point Movement, Simulation","8,61"
DreadBall (Second Edition),2018.0,"Dice Rolling, Grid Movement, Variable Player Powers","8,61"
Here I Stand: 500th Anniversary Edition,2017.0,"Campaign / Battle Card Driven, Dice Rolling, Hand Management, Point to Point Movement, Variable Player Powers","8,61"
Unmatched Game System,2019.0,"Action Points, Card Play Conflict Resolution, Line of Sight, Point to Point Movement, Take That, Team-Based Game, Variable Player Powers","8,61"
Pandemic Legacy: Season 1,2015.0,"Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Set Collection, Trading, Variable Player Powers","8,61"
The Hunters A.D. 2114,2019.0,"Cooperative Game, Grid Movement, Modular Board, Role Playing, Variable Player Powers","8,60"
Verdun 1916: Steel Inferno,2020.0,"Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Deck Bag and Pool Building, Hand Management, Simulation","8,60"
Star Fleet Battles Silver Anniversary Master Rulebook,2004.0,"Dice Rolling, Hexagon Grid, Simultaneous Action Selection","8,59"
Moonstone,0.0,"Action Points, Deck Bag and Pool Building, Dice Rolling, Point to Point Movement, Rock-Paper-Scissors, Variable Player Powers","8,59"
Blitz Bowl: Season 2,2020.0,"Dice Rolling, Grid Movement, Variable Player Powers","8,59"
Congo: Adventures in the Heart of Africa,2016.0,Dice Rolling,"8,59"
Exceed: Seventh Cross - Magic vs. Monsters Box,2018.0,"Hand Management, Point to Point Movement, Variable Player Powers","8,59"
A Touch of Evil: 10 Year Anniversary Edition,2020.0,"Area Movement, Cooperative Game, Dice Rolling, Roll / Spin and Move, Variable Player Powers","8,59"
La Bataille de la Moscowa (Third Edition),2011.0,"Hexagon Grid, Line of Sight","8,58"
Russia Besieged: Deluxe Edition,2018.0,"Dice Rolling, Hexagon Grid","8,58"
Polis,2020.0,"Area Majority / Influence, Area Movement, Dice Rolling, Simulation, Variable Phase Order, Victory Points as a Resource","8,58"
Techno Bowl: Arcade Football Unplugged,2017.0,"Action Queue, Dice Rolling, Grid Movement, Hand Management, Simultaneous Action Selection","8,58"
The Jaws of Victory: Battle of Korsun-Cherkassy Pocket - January/February 1944,2020.0,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Variable Set-up, Zone of Control","8,58"
Dice Throne: Season One ReRolled,2020.0,"Dice Rolling, Take That, Team-Based Game, Variable Player Powers","8,57"
Stonewall Jackson's Way II: Battles of Bull Run,2013.0,"Dice Rolling, Hexagon Grid","8,57"
Advanced Song of Blades and Heroes,2016.0,"Action Points, Dice Rolling, Push Your Luck, Variable Phase Order, Variable Player Powers","8,57"
Shadows of Brimstone: Forbidden Fortress,2018.0,"Cooperative Game, Dice Rolling, Grid Movement, Modular Board, Variable Player Powers","8,57"
"Stalingrad '42: Southern Russia, June-December, 1942",2019.0,"Dice Rolling, Grid Movement, Hexagon Grid, Ratio / Combat Results Table, Simulation, Zone of Control","8,57"
Dracula's America: Shadows of the West,2017.0,"Campaign / Battle Card Driven, Dice Rolling, Variable Player Powers","8,57"
Doctor Who: Solitaire Story Game (Second Edition),2017.0,"Dice Rolling, Storytelling","8,57"
Hidden Games Tatort: Der Fall Klein-Borstelheim,2019.0,Cooperative Game,"8,56"
Counter Attack,2019.0,"Card Drafting, Dice Rolling, Hexagon Grid, Movement Points, Simulation, Stat Check Resolution","8,55"
Exceed: Street Fighter - Chun-Li Box,2019.0,"Hand Management, Point to Point Movement, Variable Player Powers","8,55"
"Brazen Chariots: Battles for Tobruk, 1941",2019.0,"Dice Rolling, Hexagon Grid, Simulation","8,55"
Dien Bien Phu: The Final Gamble,2014.0,"Dice Rolling, Hexagon Grid","8,55"
To Take Washington: Jubal Early's Summer 1864 Campaign,2019.0,"Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Movement Points, Scenario / Mission / Campaign Game, Simulation","8,55"
Code 3,2020.0,"Cooperative Game, Dice Rolling, Storytelling, Team-Based Game, Variable Player Powers","8,55"
Saga: The Crescent and The Cross,2014.0,"Dice Rolling, Line of Sight, Simulation, Variable Player Powers","8,54"
Sherlock Holmes Consulting Detective: The Baker Street Irregulars,2020.0,"Cooperative Game, Storytelling","8,54"
2GM Pacific,2020.0,"Card Drafting, Card Play Conflict Resolution, Movement Points, Scenario / Mission / Campaign Game, Simulation, Solo / Solitaire Game","8,54"
"From Salerno to Rome: World War II - The Italian Campaign, 1943-1944",2020.0,"Dice Rolling, Hexagon Grid, Movement Points, Scenario / Mission / Campaign Game, Simulation, Zone of Control","8,54"
Red White & Blue Racin' Stock Car Action Game,2012.0,Dice Rolling,"8,54"
Exceed: Seventh Cross - Guardians vs. Myths Box,2018.0,"Hand Management, Point to Point Movement, Variable Player Powers","8,54"
Tiny Epic Dungeons,2021.0,"Cooperative Game, Dice Rolling, Finale Ending, Modular Board, Solo / Solitaire Game, Tile Placement, Time Track, Variable Player Powers, Variable Set-up","8,53"
Skytear,2020.0,"Action Points, Card Drafting, Deck Bag and Pool Building, Grid Movement, Hand Management, Modular Board, Variable Player Powers","8,53"
Conflict of Heroes: Awakening the Bear - Operation Barbarossa 1941 (Third Edition),2019.0,"Action Points, Dice Rolling, Hexagon Grid, Simulation","8,52"
Teenage Mutant Ninja Turtles Adventures: Change is Constant,2020.0,"Deck Bag and Pool Building, Dice Rolling, Grid Movement, Hand Management, Modular Board, Scenario / Mission / Campaign Game, Team-Based Game, Variable Player Powers","8,52"
Dwellings of Eldervale,2020.0,"Area Majority / Influence, Dice Rolling, Hand Management, Modular Board, Variable Player Powers, Worker Placement","8,52"
Napoleon's Resurgence,2018.0,"Dice Rolling, Hexagon Grid, Simulation","8,52"
